SBD,Toán,Ngữ văn,Ngoại ngữ,Vật lý,Hóa học,Sinh học,KHTN,Lịch sử,Địa lý,GDCD,KHXH
52001295,7.40,6.25,5.40,,,,,5.75,7.25,8.75,7.25
52001296,8.60,7.50,8.40,6.50,8.25,5.50,6.75,,,,
52001297,7.40,4.25,10.00,7.50,6.75,6.50,6.91,,,,
52001298,8.40,6.75,9.40,7.00,8.25,6.75,7.33,,,,
52001299,8.40,8.50,9.80,7.25,8.50,6.25,7.33,,,,
52001300,8.40,7.25,9.40,8.25,8.25,5.25,7.25,,,,
52001301,8.20,7.75,8.60,7.00,5.50,5.25,5.91,,,,
52001302,8.00,8.00,9.40,8.75,5.25,5.25,6.41,,,,
52001303,8.60,8.00,8.80,8.00,8.50,6.50,7.66,,,,
52001304,9.00,6.00,7.00,7.50,7.75,7.25,7.50,,,,
52001305,7.20,8.25,9.20,4.75,7.00,5.50,5.75,,,,
52001306,8.20,8.25,8.60,7.00,5.50,4.50,5.66,,,,
52001307,8.80,8.50,8.00,9.25,8.00,7.00,8.08,,,,
52001308,7.00,9.00,8.80,,,,,6.50,7.25,8.25,7.33
52001309,6.80,8.50,9.20,,,,,7.50,6.75,9.50,7.91
52001310,6.60,6.75,6.00,,,,,6.00,6.75,10.00,7.58
52001311,4.20,5.50,4.20,,,,,3.25,5.25,5.75,4.75
52001312,8.40,8.50,8.40,,,,,5.50,8.25,9.75,7.83
52001313,7.60,7.75,8.40,5.50,7.25,5.50,6.08,,,,
52001314,4.40,7.00,3.40,,,,,4.25,5.25,7.25,5.58
52001315,9.00,7.50,9.60,8.00,8.00,7.50,7.83,,,,
52001316,6.00,6.25,9.40,5.75,3.50,4.50,4.58,,,,
52001317,8.20,7.00,8.00,7.50,5.25,4.50,5.75,,,,
52001318,9.00,8.25,9.80,,,,,6.50,8.25,9.50,8.08
52001319,6.40,7.50,7.60,,,,,4.75,7.25,9.50,7.16
52001320,7.60,7.25,6.40,7.75,7.75,5.75,7.08,,,,
52001321,7.80,8.25,8.20,7.25,8.25,6.50,7.33,,,,
52001322,8.00,8.50,9.00,,,,,5.50,6.00,8.50,6.66
52001323,7.60,7.25,8.80,,,,,5.00,7.00,9.25,7.08
52001324,8.80,7.75,,6.25,6.50,7.00,6.58,,,,
52001325,6.40,8.75,8.80,,,,,4.00,6.00,8.50,6.16
52001326,7.80,8.00,8.20,,,,,5.50,6.00,8.25,6.58
52001327,8.00,8.25,9.00,5.25,7.25,7.00,6.50,,,,
52001328,8.80,9.00,9.20,8.00,7.75,6.00,7.25,,,,
52001329,8.00,8.50,9.20,7.75,5.75,8.25,7.25,,,,
52001330,7.40,8.00,7.00,,,,,5.50,7.50,9.50,7.50
52001331,6.00,7.00,3.60,,,,,3.75,6.50,8.75,6.33
52001332,7.80,8.00,9.20,8.25,6.25,5.00,6.50,,,,
52001333,8.20,8.00,9.40,6.25,8.50,6.75,7.16,,,,
52001334,7.80,8.00,9.00,7.25,7.75,6.75,7.25,,,,
52001335,7.00,8.00,6.80,,,,,4.25,6.50,9.00,6.58
52001336,7.60,7.25,8.60,6.75,4.75,5.00,5.50,,,,
52001337,8.40,8.00,9.20,,,,,9.00,8.50,9.50,9.00
52001338,8.20,8.00,7.40,7.25,8.00,7.25,7.50,,,,
52001339,8.80,7.50,8.40,8.00,8.00,6.00,7.33,,,,
52001340,9.00,5.75,8.80,8.25,8.50,8.25,8.33,,,,
52001341,6.40,8.00,9.40,5.75,4.50,4.75,5.00,,,,
52001342,8.20,7.50,9.00,7.50,6.50,7.25,7.08,,,,
52001343,8.00,8.00,9.60,,,,,4.75,8.75,9.25,7.58
52001344,7.80,8.50,9.60,,,,,7.25,8.50,9.75,8.50
52001345,8.00,8.00,9.40,7.25,7.00,4.75,6.33,,,,
52001346,8.00,8.25,9.20,7.25,8.50,8.00,7.91,,,,
52001347,7.80,6.50,,7.75,8.25,4.75,6.91,,,,
52001348,8.60,8.50,9.60,8.50,7.75,7.00,7.75,,,,
52001349,7.60,8.50,9.60,,,,,7.75,9.00,9.75,8.83
52001350,8.40,7.50,7.00,,,,,5.50,6.25,8.50,6.75
52001351,8.00,8.75,9.40,8.50,6.75,5.75,7.00,,,,
52001352,8.20,9.25,9.40,,,,,8.25,8.50,10.00,8.91
52001353,7.60,7.00,9.20,6.25,7.00,5.25,6.16,,,,
52001354,7.40,9.00,9.20,,,,,7.00,7.25,8.50,7.58
52001355,7.60,7.50,9.20,6.25,8.25,6.25,6.91,,,,
52001356,8.20,7.75,9.60,8.25,7.25,6.50,7.33,,,,
52001357,8.80,7.25,9.60,9.00,7.00,5.00,7.00,,,,
52001358,4.00,6.00,3.00,,,,,4.00,7.25,7.75,6.33
52001359,8.80,8.00,9.40,8.25,7.75,7.25,7.75,,,,
52001360,7.80,8.00,9.40,,,,,8.75,7.75,9.50,8.66
52001361,7.40,7.25,8.20,7.00,7.00,7.00,7.00,,,,
52001362,6.60,8.75,9.40,,,,,5.75,9.25,9.00,8.00
52001363,7.40,7.75,9.40,6.50,7.25,6.50,6.75,,,,
52001364,8.40,7.50,8.60,8.50,6.00,5.75,6.75,,,,
52001365,8.20,9.00,10.00,7.00,7.00,7.25,7.08,,,,
52001366,8.00,7.00,9.40,7.00,5.50,6.25,6.25,,,,
52001367,8.20,6.25,9.80,6.00,6.25,5.75,6.00,,,,
52001368,6.80,7.75,9.20,,,,,5.50,7.75,9.00,7.41
52001369,7.40,7.00,6.80,,,,,4.25,7.00,9.25,6.83
52001370,8.20,7.75,6.60,6.50,6.50,8.00,7.00,,,,
52001371,8.60,8.25,9.00,7.25,8.00,8.00,7.75,,,,
52001372,8.00,8.25,8.80,8.00,5.75,6.50,6.75,,,,
52001373,8.80,7.75,7.60,5.00,7.50,8.50,7.00,,,,
52001374,8.20,7.75,9.20,6.00,8.50,8.00,7.50,,,,
52001375,6.80,8.50,,6.75,6.00,4.25,5.66,,,,
52001376,8.60,8.00,7.20,7.25,7.75,6.00,7.00,,,,
52001377,8.00,7.50,9.40,7.00,7.25,5.75,6.66,,,,
52001378,8.00,8.50,9.40,8.50,5.50,5.50,6.50,,,,
52001379,8.20,7.50,9.20,7.75,7.25,7.50,7.50,,,,
52001380,8.80,7.00,6.00,6.50,8.75,8.00,7.75,,,,
52001381,8.80,5.50,8.60,7.75,8.50,8.25,8.16,,,,
52001382,7.60,8.25,9.40,7.25,7.25,7.00,7.16,,,,
52001383,9.20,7.50,9.00,8.00,8.75,8.25,8.33,,,,
52001384,8.20,7.75,8.80,6.25,7.75,6.25,6.75,,,,
52001385,8.00,8.25,7.60,5.75,7.75,7.75,7.08,,,,
52001386,8.60,8.50,8.40,8.00,8.50,5.75,7.41,,,,
52001387,7.00,8.00,9.20,6.75,7.00,6.50,6.75,,,,
52001388,8.00,9.00,8.80,6.75,6.50,6.00,6.41,,,,
52001389,7.60,8.00,8.20,6.75,6.00,5.75,6.16,,,,
52001390,7.40,8.75,9.00,,,,,7.00,7.25,9.25,7.83
52001391,7.00,7.00,9.20,,,,,7.50,7.00,9.75,8.08
52001392,8.20,7.75,8.60,7.00,5.75,6.00,6.25,,,,
